id,name,description,xrefs,parents
0000002,uterine cervix,"Lower, narrow portion of the uterus where it joins with the top end of the vagina.",BTO:0001421|BTO:0002249|CALOHA:TS-0134|EFO:0000979|EMAPA:29927|EV:0100114|FMA:17740|GAID:376|MA:0000392|MAT:0000292|MESH:D002584|NCIT:C12311|UMLS:C0007874|VHOG:0001359|galen:CervixUteri,BFO:0000050 some UBERON:0000995|CARO:0000000|RO:0002150 some UBERON:0000996|RO:0002433 some UBERON:0000995|UBERON:0001560|UBERON:0005156
0000003,naris,Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system[MAH].,AAO:0000311|EHDAA2:0001225|EHDAA:9083|EMAPA:17847|MA:0000282|VHOG:0000663|galen:Naris,BFO:0000050 some UBERON:0000033|BFO:0000050 some UBERON:0005725|RO:0002160 some NCBITaxon:7711|RO:0002176 some UBERON:0001707|UBERON:0000161
0000004,nose,"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.",BTO:0000840|CALOHA:TS-2037|EHDAA2:0001274|EHDAA:1502|EMAPA:16542|EV:0100037|EV:0100370|FMA:46472|GAID:77|MA:0000281|MAT:0000139|MESH:D009666|MIAA:0000139|NCIT:C12756|TAO:0000047|UMLS:C0028429|ZFA:0000047|galen:Nose,BFO:0000050 some UBERON:0001456|CARO:0000003|RO:0002160 some NCBITaxon:7742|RO:0002202 some UBERON:0003050|RO:0002216 some GO:0007608|RO:0002433 some UBERON:0001004|RO:0002433 some UBERON:0001456|RO:0002551 some UBERON:0006813|UBERON:0000475|UBERON:0002268|UBERON:0004121|UBERON:0010314
0000006,islet of Langerhans,The clusters of hormone-producing cells that are scattered throughout the pancreas.,AAO:0010406|BTO:0000991|CALOHA:TS-0741|EFO:0000856|EMAPA:32927|EV:0100130|FMA:16016|GAID:324|MA:0000127|MAT:0000076|MESH:D007515|MIAA:0000076|NCIT:C12608|UMLS:C0022131|VHOG:0000646|XAO:0000159,BFO:0000050 some UBERON:0000016|BFO:0000051 some CL:0000168|BFO:0000051 some CL:0000172|BFO:0000051 some CL:0002067|RO:0002433 some UBERON:0000016|UBERON:0004119|UBERON:0034922
0000007,pituitary gland,The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN].,AAO:0010536|BAMS:PIT|BAMS:Pit|BIRNLEX:1353|BM:Die-Hy-HY|BTO:0001073|CALOHA:TS-0798|DHBA:10505|EFO:0000857|EHDAA2:0001471|EHDAA:2183|EHDAA:4477|EMAPA:35998|EV:0100132|FMA:13889|GAID:457|HBA:4634|MA:0000176|MAT:0000077|MESH:D010902|MIAA:0000077|NCIT:C12399|TAO:0000118|UMLS:C0032005|UMLS:C0032005|VHOG:0000143|XAO:0000017|ZFA:0000118|neuronames:399,BFO:0000050 some UBERON:0001894|BFO:0000051 some CL:0000440|BFO:0000051 some CL:0000642|BFO:0000051 some UBERON:0002196|BFO:0000051 some UBERON:0002198|RO:0002160 some NCBITaxon:7742|RO:0002202 some UBERON:0034875|RO:0002216 some GO:0007276|RO:0002433 some UBERON:0001894|RO:0002495 some UBERON:0034875|UBERON:0002368|UBERON:0003296|UBERON:0010133|UBERON:0010314
0000009,submucosa,"A layer of dense irregular connective tissue that lines organs and supports the mucosa, as well as joins the mucosa to the bulk of underlying smooth muscle. [WP,unvetted].",BTO:0002107|FMA:85391|FMA:85392|NCIT:C13167|UMLS:C0225344,BSPO:0001107 some UBERON:0000344|RO:0002160 some NCBITaxon:7711|RO:0002473 some UBERON:0002384|UBERON:0004923
0000010,peripheral nervous system,"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands.",AAO:0000429|BAMS:PNS|BILA:0000081|BIRNLEX:1111|BTO:0001028|CALOHA:TS-0808|EFO:0000891|EHDAA2:0001445|EHDAA:2893|EMAPA:16665|EV:0100335|FBbt:00005098|FMA:9903|GAID:715|MA:0000218|MAT:0000338|MESH:D017933|MIAA:0000338|NCIT:C12465|TAO:0000142|UMLS:C0206417|UMLS:C0206417|UMLS:C1305921|VHOG:0000399|XAO:0000178|ZFA:0000142|neuronames:3232,BFO:0000050 some UBERON:0001016|CARO:0000000|UBERON:0011216
0000011,parasympathetic nervous system,"The parasympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system. Parasympathetic nerves emerge cranially as pre ganglionic fibers from oculomotor, facial, glossopharyngeal and vagus and from the sacral region of the spinal cord. Most neurons are cholinergic and responses are mediated by muscarinic receptors. The parasympathetic system innervates, for example: salivary glands, thoracic and abdominal viscera, bladder and genitalia[GO].",AAO:0010488|BIRNLEX:2517|BTO:0001833|CALOHA:TS-2094|EFO:0000894|EHDA:10096|EHDAA2:0001402|EHDAA:4655|EMAPA:17270|FMA:9907|GAID:708|MA:0000223|MAT:0000101|MESH:D010275|MIAA:0000101|NCIT:C12764|TAO:0001575|UMLS:C0030510|UMLS:C0030510|UMLS:C1305770|VHOG:0000755|ZFA:0001575,BFO:0000050 some UBERON:0002410|RO:0002254 some UBERON:0002342|RO:0002433 some UBERON:0002410|UBERON:0010314|UBERON:0011216
0000012,somatic nervous system,Part of peripheral nervous system that includes the somatic parts of the cranial and spinal nerves and their ganglia and the peripheral sensory receptors.,EFO:0000892|FMA:9904|MA:0002850|MAT:0000099|MIAA:0000099|NLXANAT:100301,BFO:0000050 some UBERON:0000010|CARO:0000000|RO:0002433 some UBERON:0001016|UBERON:0011216
0000013,sympathetic nervous system,"The sympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system (the other being the parasympathetic nervous system). The sympathetic preganglionic neurons have their cell bodies in the thoracic and lumbar regions of the spinal cord and connect to the paravertebral chain of sympathetic ganglia. Innervate heart and blood vessels, sweat glands, viscera and the adrenal medulla. Most sympathetic neurons, but not all, use noradrenaline as a post-ganglionic neurotransmitter [GO].",AAO:0010487|BIRNLEX:2516|BTO:0001832|CALOHA:TS-2050|EFO:0000893|EHDAA2:0001971|EHDAA:3769|EMAPA:16985|FMA:9906|GAID:710|MA:0000225|MESH:D013564|MIAA:0000100|NCIT:C12795|TAO:0001576|UMLS:C0039044|UMLS:C0039044|UMLS:C1269646|VHOG:0000384|ZFA:0001576,BFO:0000050 some UBERON:0002410|CARO:0000000|RO:0002433 some UBERON:0002410|UBERON:0011216
0000014,zone of skin,Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis.,EHDAA2:0001844|EHDAA:6530|EMAPA:17525|EV:0100152|FMA:86166|GAID:933|MA:0000151|MAT:0000284|MESH:D012867|MIAA:0000284|VHOG:0000860,BFO:0000050 some UBERON:0002097|BFO:0000051 some UBERON:0001003|BFO:0000051 some UBERON:0002067|UBERON:0004121|UBERON:0034944
0000015,non-material anatomical boundary,A non-material anatomical entity of two dimensions. Anatomical boundaries are contiguous structures.,AEO:0000192|CARO:0000010|FMA:50705,UBERON:0000466
0000016,endocrine pancreas,"The part of the pancreas that is part of the endocrine system and is made up of islet cells, which produce insulin, glucagon and somatostatin.",BTO:0000650|CALOHA:TS-1302|EFO:0002542|EMAPA:35305|EV:0100129|FMA:16018|MA:0001582|NCIT:C32509|TAO:0001260|VHOG:0000049|ZFA:0001260,BFO:0000050 some NCBITaxon:6072|BFO:0000050 some UBERON:0000949|BFO:0000050 some UBERON:0001264|RO:0002202 some UBERON:0003923|RO:0002215 some GO:0030073|RO:0002215 some GO:0070091|RO:0002215 some GO:0070253|RO:0002433 some UBERON:0001264|RO:0002473 some UBERON:0000006|UBERON:0000471|UBERON:0004119
0000017,exocrine pancreas,"The part of the pancreas that is part of the exocrine system and which produces and store zymogens of digestive enzymes, such as chymotrypsinogen and trypsinogen in the acinar cells [GO].",AAO:0010407|BTO:0000434|CALOHA:TS-1241|EMAPA:35328|EV:0100093|FMA:16017|MA:0002415|MESH:D046790|NCIT:C32546|TAO:0001249|UMLS:C0553695|VHOG:0000048|XAO:0000137|ZFA:0001249,BFO:0000050 some UBERON:0001264|BFO:0000050 some UBERON:0002330|BFO:0000051 some UBERON:0001263|BFO:0000051 some UBERON:0007329|RO:0002202 some UBERON:0003924|RO:0002216 some GO:0007586|RO:0002433 some UBERON:0001264|UBERON:0000409|UBERON:0004119|UBERON:0005177
0000018,compound eye,A light sensing organ composed of ommatidia.,BTO:0001921|FBbt:00004508|HAO:0000217|TGMA:0000024,RO:0002160 some NCBITaxon:6656|RO:0002473 some UBERON:0000971|UBERON:0015165
0000019,camera-type eye,"An organ of sight that includes the camera-type eyeball and supporting structures such as the lacrimal apparatus, the conjunctiva, the eyelid.",AAO:0010340|BIRNLEX:1169|BTO:0004688|EHDAA2:0000484|EHDAA:936|EMAPA:16198|FMA:54448|MA:0000261|NCIT:C12401|TAO:0000107|UMLS:C0015392|UMLS:C0015392|UMLS:C1280202|VHOG:0000275|XAO:0000179|ZFA:0000107,BFO:0000050 some UBERON:0004088|BFO:0000051 some UBERON:0000965|BFO:0000051 some UBERON:0000966|BSPO:0000126 some UBERON:0000033|RO:0002202 some UBERON:0003072|RO:0002254 some UBERON:0002342|RO:0002492 some UBERON:0000066|UBERON:0000047|UBERON:0004121|UBERON:0010314|UBERON:0015212
0000020,sense organ,An organ that is capable of transducing sensory stimulus to the nervous system.,AEO:0000094|BSA:0000121|BTO:0000202|CALOHA:TS-2043|EHDAA2:0001824|EHDAA:500|EMAPA:35955|FBbt:00005155|GAID:63|HAO:0000930|MA:0000017|MESH:D012679|NCIT:C33224|UMLS:C0935626|VHOG:0001407|WBbt:0006929,BFO:0000050 some UBERON:0001032|RO:0002215 some GO:0050906|UBERON:0000062
0000021,cutaneous appendage,"Anatomical projection that protrudes from the skin. Examples: hair, nail, feather, claw, hoof, horn, wattle, spur, beak, antler, bristle and some scales.",CALOHA:TS-0051|FMA:71012,BFO:0000050 some RO:0002577|BFO:0000050 some UBERON:0002416|CARO:0000003|RO:0002371 some UBERON:0002097|UBERON:0013703
0000022,feather,"One of the epidermal growths that form the distinctive outer covering, or plumage, on birds. Feathers are formed in tiny follicles in the epidermis, or outer skin layer, that produce keratin proteins.",BTO:0000447|EFO:0000955|GAID:1214|MAT:0000156|MESH:D005241,BFO:0000051 some GO:0045095|RO:0002160 some NCBITaxon:436491|RO:0002162 some (not (NCBITaxon:314146))|RO:0002202 some UBERON:0001003|UBERON:0000021|UBERON:0004121
0000023,wing,Appendage that is shaped in order to produce lift for flight through the air.,BTO:0001463|EFO:0000885|GAID:1217|MAT:0000202|MESH:D014921|MIAA:0000202,RO:0000086 some PATO:0002236|RO:0002160 some NCBITaxon:33213|RO:0002162 some (not (NCBITaxon:118072))|RO:0002162 some (not (NCBITaxon:186634))|RO:0002162 some (not (NCBITaxon:314147))|RO:0002162 some (not (NCBITaxon:6231))|RO:0002162 some (not (NCBITaxon:7878))|RO:0002162 some (not (NCBITaxon:8292))|RO:0002162 some (not (NCBITaxon:8457))|RO:0002162 some (not (NCBITaxon:91561))|RO:0002162 some (not (NCBITaxon:9254))|RO:0002162 some (not (NCBITaxon:9263))|RO:0002162 some (not (NCBITaxon:9443))|RO:0002162 some (not (NCBITaxon:9606))|RO:0002216 some GO:0060361|UBERON:0000026
0000025,tube,Any hollow cylindrical anatomical structure containing a lumen through which substances are transported.,galen:Tube,BFO:0000051 some UBERON:0013522|RO:0000086 some PATO:0002299|UBERON:0004111
0000026,appendage,"Major subdivision of an organism that protrudes from the body[DOS, CARO].",AEO:0000193|BILA:0000018|BTO:0001492|CARO:0010003|EFO:0000799|EHDAA2:0003193|EMAPA:37283|EV:0100155|FBbt:00007000|HAO:0000144|MAT:0000023|MESH:D005121|MIAA:0000023|NCIT:C61460|UMLS:C0598782|VSAO:0000075|XAO:0000218,RO:0002160 some NCBITaxon:6072|UBERON:0000475
0000029,lymph node,"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.",BTO:0000784|CALOHA:TS-0579|EFO:0000872|EMAPA:35523|EV:0100050|FMA:5034|GAID:947|MA:0000139|MAT:0000442|MESH:D008198|NCIT:C12745|NCIT:C33027|TAO_RETIRED:0005318|UMLS:C0024204|VHOG:0001273|ZFA_RETIRED:0005318|galen:Lymphnode,BFO:0000050 some UBERON:0002465|BFO:0000051 some UBERON:0002006|BFO:0000051 some UBERON:0002007|BFO:0000051 some UBERON:0002194|BFO:0000051 some UBERON:0002391|CARO:0000000|RO:0002150 some UBERON:0001473|RO:0002162 some NCBITaxon:40674|RO:0002202 some UBERON:0034953|RO:0002473 some UBERON:0001744|UBERON:0005057
0000030,lamina propria,"A thin layer of loose connective tissue which lies beneath the epithelium and together with the epithelium constitutes the mucosa[WP]. The lamina propria contains capillaries and a central lacteal (lymph vessel) in the small intestine, as well as lymphoid tissue. Lamina propria also contains glands with the ducts opening on to the mucosal epithelium, that secrete mucus and serous secretions.",BTO:0002330|FMA:62517|NCIT:C32918|UMLS:C1179187,BFO:0000050 some UBERON:0000344|BSPO:0001107 some UBERON:0000483|RO:0002473 some UBERON:0011825|UBERON:0004923
0000031,lamina propria of trachea,A lamina propria that is part of a respiratory airway.,EMAPA:35877|FMA:265157|MA:0001858|NCIT:C49305|UMLS:C1710457,BFO:0000050 some UBERON:0000379|BFO:0000050 some UBERON:0001005|UBERON:0004779
0000033,head,The head is the anterior-most division of the body [GO].,AAO:0010335|AEO:0000106|BILA:0000115|BIRNLEX:1230|BTO:0000282|CALOHA:TS-0436|EFO:0000964|EHDAA2:0003106|EMAPA:31858|FBbt:00000004|FMA:7154|GAID:61|HAO:0000397|MA:0000023|MAT:0000294|MESH:D006257|MIAA:0000294|NCIT:C12419|SPD:0000016|TAO:0001114|TGMA:0000002|UMLS:C0018670|UMLS:C0018670|VHOG:0001644|WBbt:0005739|XAO:0003024|ZFA:0001114|galen:Head,BFO:0000050 some UBERON:0000153|BFO:0000050 some UBERON:0007811|RO:0002160 some NCBITaxon:33213|UBERON:0011676
0000035,primary ovarian follicle,An ovarian follicle that has one layer of granulosa cells.,BTO:0000410|EMAPA:35631|FMA:18634|MA:0002907,RO:0002180 some UBERON:0005170|RO:0002202 some UBERON:0003981|UBERON:0001305
0000036,secondary ovarian follicle,"A maturing ovarian follicle that has two more more layers of granulosa cells, up to the onset of antrum formation.",EMAPA:35632|FMA:18637|MA:0002908,RO:0002180 some UBERON:0005170|RO:0002202 some UBERON:0000035|RO:0002387 some UBERON:0000037|UBERON:0001305
0000037,tertiary ovarian follicle,"A follicle that has reached the most mature stage of folliculogenesis, characterized by the presence of the antrum.",EMAPA:30763|FMA:18641|MA:0002909|NCIT:C32692|UMLS:C0600225,BFO:0000051 some UBERON:0000039|RO:0002180 some UBERON:0005170|RO:0002202 some UBERON:0000036|UBERON:0001305
0000038,follicular fluid,The fluid surrounding the ovum and granulosa cells in the ovarian follicle.,BTO:0004383|CALOHA:TS-0728|FMA:18665|GAID:372|MA:0002511|MESH:D015571|NCIT:C52556|UMLS:C1709369,BFO:0000050 some UBERON:0001305|BFO:0000051 some CHEBI:17089|BFO:0000051 some UBERON:0000456|BFO:0000051 some UBERON:0007779|CARO:0000000|RO:0001025 some UBERON:0000039|RO:0002221 some CL:0000025|UBERON:0000463
0000039,follicular antrum,Region of ovarian follicle filled with follicular fluid.,EMAPA:37867|FMA:18675,BFO:0000050 some UBERON:0001305|CARO:0000000|RO:0001015 some UBERON:0000038|UBERON:0000464
0000041,odontode scale,"Multi-tissue structure composed of enameloid, dentine surrounding a pulp cavity, and bone of attachment anchoring the element into the dermis[VSAO].",VSAO:0000079,BFO:0000051 some UBERON:0001751|BFO:0000051 some UBERON:0011692|UBERON:0007380
0000042,serous membrane,Multi-tissue structure that is comprised of a secretory epithelial layer (mesothelium) and a connective tissue layer.,FMA:9581|GAID:19|MESH:D012704|NCIT:C13169|TAO:0005425|UMLS:C0036760|ZFA:0005425,BFO:0000050 some NCBITaxon:6072|BFO:0000050 some UBERON:0000060|BFO:0000051 some UBERON:0001136|BFO:0000051 some UBERON:0002384|RO:0002202 some UBERON:0000926|UBERON:0000481|UBERON:0004120
0000043,tendon,Dense regular connective tissue that connects muscle to bone[VSAO].,AEO:0000091|BTO:0001356|CALOHA:TS-1021|EHDAA2:0003091|EMAPA:35854|EV:0100149|FMA:9721|GAID:276|MA:0000115|MESH:D013710|NCIT:C13045|UMLS:C0039508|VHOG:0001286|VSAO:0000073|XAO:0000173|ZFA:0005647|galen:Tendon,BFO:0000050 some UBERON:0002204|BFO:0000051 some CL:0000057|BFO:0000051 some CL:0000327|RO:0002160 some NCBITaxon:7742|RO:0002176 some UBERON:0001474|RO:0002176 some UBERON:0001630|UBERON:0007846
0000044,dorsal root ganglion,"Sensory ganglia located on the dorsal spinal roots within the vertebral column. The spinal ganglion cells are pseudounipolar. The single primary branch bifurcates sending a peripheral process to carry sensory information from the periphery and a central branch which relays that information to the spinal cord or brain. (MSH) * ganglion found on the posterior root of each spinal nerve, composed of the unipolar nerve cell bodies of the sensory neurons of the nerve. (CSP).",AAO:0011032|BIRNLEX:2596|BIRNLEX:2598|BTO:0001264|CALOHA:TS-0954|EFO:0000900|EHDAA2:0000418|EHDAA2:0001897|EHDAA:2899|EMAPA:16667|EMAPA:16668|EMAPA:18372|EV:0100373|FMA:5888|MA:0000231|MA:0000232|MAT:0000162|MIAA:0000162|NCIT:C12462|TAO:0000200|UMLS:C0017070|UMLS:C0017070|VHOG:0000222|XAO:0000210|ZFA:0000200,RO:0002202 some UBERON:0003083|UBERON:0001800|UBERON:0010313|obo:uberon/core#extends_fibers_into some UBERON:0001780|obo:uberon/core#extends_fibers_into some UBERON:0002261
0000045,ganglion,"A biological tissue mass, most commonly a mass of nerve cell bodies.",AAO:0010426|AEO:0000135|BAMS:G|BTO:0000497|CALOHA:TS-0397|EFO:0000899|EHDAA2:0003135|EHDAA:2897|EHDAA:4662|EHDAA:5621|EHDAA:918|EMAPA:32846|EV:0100372|FMA:5884|MA:0002406|MAT:0000207|MAT:0000343|MESH:D005724|MIAA:0000207|MIAA:0000343|NCIT:C12719|NLXANAT:100302|TAO:0000190|TGMA:0001016|UMLS:C0017067|VHOG:0000156|WBbt:0005189|XAO:0000209|ZFA:0000190,BFO:0000050 some UBERON:0001016|CARO:0000000|RO:0002202 some UBERON:0003869|RO:0002473 some UBERON:0003714|RO:0002495 some UBERON:0003869|UBERON:0000061
0000047,simple eye,An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity.,TGMA:0000729,UBERON:0000970
0000051,fornix of vagina,"The deepest portions of the vagina, extending into the recesses created by the vaginal portion of cervix[WP,unvetted].",FMA:19985|NCIT:C33848|UMLS:C0227794,BFO:0000050 some UBERON:0000996|CARO:0000000|UBERON:0002553
